Name,Batting AVG,Batting S/R,Total Runs,Economy,Bowling S/R,Bowling AVG,Bowling Style,Batting Style,Playing Role,Team,Batting Position
TM Head,40.214285714285715,191.49659863945578,563,19.2,0,0,Right arm Offbreak,Left hand Bat,Wicketkeeper,Sunrisers Hyderabad,1
V Kohli,61.75,154.6972860125261,741,,,,Right arm Medium,Right hand Bat,Top order Batter,Royal Challengers Bengaluru,2
R Parag,52.09090909090909,149.60835509138383,573,9,0,0,"Right arm Offbreak, Legbreak",Right hand Bat,Top order Batter,Rajasthan Royals,3
SV Samson,53,154.51895043731778,530,,,,Wicketkeeper,Right hand Bat,Wicketkeeper Batter,Rajasthan Royals,4
RR Pant,40.54545454545455,155.4006968641115,446,,,,Wicketkeeper,Left hand Bat,Wicketkeeper Batter,Delhi Capitals,5
AD Russell,30.571428571428573,182.9059829059829,214,10.056818181818182,9.263157894736842,15.526315789473685,Right arm Fast,Right hand Bat,Allrounder,Kolkata Knight Riders,6
Arshad Khan,41.5,153.7037037037037,83,11.213114754098362,61,114,Left arm Fast medium,Left hand Bat,Bowler,Lucknow Super Giants,7
HH Pandya,18,143.04635761589404,216,10.75,19.636363636363637,35.18181818181818,Right arm Medium fast,Right hand Bat,Allrounder,Mumbai Indians,8
Swapnil Singh,18.5,176.19047619047618,37,8.76923076923077,15.166666666666666,22.166666666666668,Slow Left arm Orthodox,Right hand Bat,Bowler,Royal Challengers Bengaluru,9
CV Varun,,,,7.966887417218543,14.380952380952381,19.095238095238095,Legbreak Googly,Right hand Bat,Bowler,Kolkata Knight Riders,10
JJ Bumrah,0,100,12,6.4,15.75,16.8,Right arm Fast,Right hand Bat,Bowler,Mumbai Indians,11
