match_id,inning,batter,runs,balls,fours,sixes,batting_position,out/not out,SR,match
1422119,Royal Challengers Bengaluru,Anuj Rawat,48,25,4,3,6,out,192.0,Royal Challengers Bengaluru vs Chennai Super Kings
1422119,Royal Challengers Bengaluru,C Green,18,22,1,0,5,out,81.82,Royal Challengers Bengaluru vs Chennai Super Kings
1422119,Royal Challengers Bengaluru,F du Plessis,35,23,8,0,2,out,152.17,Royal Challengers Bengaluru vs Chennai Super Kings
1422119,Royal Challengers Bengaluru,GJ Maxwell,0,1,0,0,4,out,0.0,Royal Challengers Bengaluru vs Chennai Super Kings
1422119,Royal Challengers Bengaluru,KD Karthik,38,26,3,2,7,not out,146.15,Royal Challengers Bengaluru vs Chennai Super Kings
1422119,Royal Challengers Bengaluru,RM Patidar,0,3,0,0,3,out,0.0,Royal Challengers Bengaluru vs Chennai Super Kings
1422119,Royal Challengers Bengaluru,V Kohli,21,20,0,1,1,out,105.0,Royal Challengers Bengaluru vs Chennai Super Kings
1422119,Chennai Super Kings,AM Rahane,27,19,0,2,3,out,142.11,Chennai Super Kings vs Royal Challengers Bengaluru
1422119,Chennai Super Kings,DJ Mitchell,22,18,0,2,4,out,122.22,Chennai Super Kings vs Royal Challengers Bengaluru
1422119,Chennai Super Kings,R Ravindra,37,15,3,3,2,out,246.67,Chennai Super Kings vs Royal Challengers Bengaluru
1422119,Chennai Super Kings,RA Jadeja,25,17,0,1,6,not out,147.06,Chennai Super Kings vs Royal Challengers Bengaluru
1422119,Chennai Super Kings,RD Gaikwad,15,15,3,0,1,out,100.0,Chennai Super Kings vs Royal Challengers Bengaluru
1422119,Chennai Super Kings,S Dube,34,28,4,1,5,not out,121.43,Chennai Super Kings vs Royal Challengers Bengaluru
1422120,Delhi Capitals,AR Patel,21,13,2,1,7,out,161.54,Delhi Capitals vs Punjab Kings
1422120,Delhi Capitals,Abishek Porel,32,10,4,2,9,not out,320.0,Delhi Capitals vs Punjab Kings
1422120,Delhi Capitals,DA Warner,29,21,3,2,1,out,138.1,Delhi Capitals vs Punjab Kings
1422120,Delhi Capitals,Kuldeep Yadav,1,2,0,0,10,out,50.0,Delhi Capitals vs Punjab Kings
1422120,Delhi Capitals,MR Marsh,20,12,2,2,2,out,166.67,Delhi Capitals vs Punjab Kings
1422120,Delhi Capitals,RK Bhui,3,7,0,0,5,out,42.86,Delhi Capitals vs Punjab Kings
1422120,Delhi Capitals,RR Pant,18,13,2,0,4,out,138.46,Delhi Capitals vs Punjab Kings
1422120,Delhi Capitals,SD Hope,33,25,2,2,3,out,132.0,Delhi Capitals vs Punjab Kings
1422120,Delhi Capitals,Sumit Kumar,2,9,0,0,8,out,22.22,Delhi Capitals vs Punjab Kings
1422120,Delhi Capitals,T Stubbs,5,8,0,0,6,out,62.5,Delhi Capitals vs Punjab Kings
1422120,Punjab Kings,Harpreet Brar,2,2,0,0,8,not out,100.0,Punjab Kings vs Delhi Capitals
1422120,Punjab Kings,JM Bairstow,9,3,2,0,2,out,300.0,Punjab Kings vs Delhi Capitals
1422120,Punjab Kings,JM Sharma,9,9,1,0,5,out,100.0,Punjab Kings vs Delhi Capitals
1422120,Punjab Kings,LS Livingstone,38,21,2,3,6,not out,180.95,Punjab Kings vs Delhi Capitals
1422120,Punjab Kings,P Simran Singh,26,17,5,0,3,out,152.94,Punjab Kings vs Delhi Capitals
1422120,Punjab Kings,S Dhawan,22,16,4,0,1,out,137.5,Punjab Kings vs Delhi Capitals
1422120,Punjab Kings,SM Curran,63,47,6,1,4,out,134.04,Punjab Kings vs Delhi Capitals
1422120,Punjab Kings,Shashank Singh,0,1,0,0,7,out,0.0,Punjab Kings vs Delhi Capitals
1422121,Kolkata Knight Riders,AD Russell,60,24,2,7,8,not out,250.0,Kolkata Knight Riders vs Sunrisers Hyderabad
1422121,Kolkata Knight Riders,MA Starc,6,3,1,0,9,not out,200.0,Kolkata Knight Riders vs Sunrisers Hyderabad
1422121,Kolkata Knight Riders,N Rana,9,11,1,0,5,out,81.82,Kolkata Knight Riders vs Sunrisers Hyderabad
1422121,Kolkata Knight Riders,PD Salt,54,40,3,3,1,out,135.0,Kolkata Knight Riders vs Sunrisers Hyderabad
1422121,Kolkata Knight Riders,RK Singh,23,15,3,0,7,out,153.33,Kolkata Knight Riders vs Sunrisers Hyderabad
1422121,Kolkata Knight Riders,Ramandeep Singh,29,16,1,3,6,out,181.25,Kolkata Knight Riders vs Sunrisers Hyderabad
1422121,Kolkata Knight Riders,SP Narine,2,4,0,0,2,out,50.0,Kolkata Knight Riders vs Sunrisers Hyderabad
1422121,Kolkata Knight Riders,SS Iyer,0,2,0,0,4,out,0.0,Kolkata Knight Riders vs Sunrisers Hyderabad
1422121,Kolkata Knight Riders,VR Iyer,7,5,1,0,3,out,140.0,Kolkata Knight Riders vs Sunrisers Hyderabad
1422121,Sunrisers Hyderabad,AK Markram,18,13,2,0,4,out,138.46,Sunrisers Hyderabad vs Kolkata Knight Riders
1422121,Sunrisers Hyderabad,Abdul Samad,15,11,1,1,6,out,136.36,Sunrisers Hyderabad vs Kolkata Knight Riders
1422121,Sunrisers Hyderabad,Abhishek Sharma,32,19,4,2,2,out,168.42,Sunrisers Hyderabad vs Kolkata Knight Riders
1422121,Sunrisers Hyderabad,H Klaasen,63,29,0,8,5,out,217.24,Sunrisers Hyderabad vs Kolkata Knight Riders
1422121,Sunrisers Hyderabad,M Jansen,1,1,0,0,8,not out,100.0,Sunrisers Hyderabad vs Kolkata Knight Riders
