team,player_name,player_full_name,batting_style,bowling_style,playing_role
Sunrisers Hyderabad Squad,Vijayakanth Viyaskanth,Vijayakanth Viyaskanth,Right hand Bat,Legbreak,Bowler
Sunrisers Hyderabad Squad,Jaydev Unadkat,Jaydev Dipakbhai Unadkat,Right hand Bat,Left arm Medium,Bowler
Sunrisers Hyderabad Squad,Umran Malik,Umran Malik,Right hand Bat,Right arm Fast,Bowler
Sunrisers Hyderabad Squad,Jhathavedh Subramanyan,Jhathavedh Subramanyan,Right hand Bat,Legbreak,Bowler
Sunrisers Hyderabad Squad,T Natarajan,Thangarasu Natarajan,Left hand Bat,Left arm Medium,Bowler
Sunrisers Hyderabad Squad,Mayank Markande,Mayank Markande,Right hand Bat,Legbreak,Bowler
Sunrisers Hyderabad Squad,Bhuvneshwar Kumar,Bhuvneshwar Kumar Singh,Right hand Bat,Right arm Medium,Bowler
Sunrisers Hyderabad Squad,Fazalhaq Farooqi,Fazalhaq Farooqi,Right hand Bat,Left arm Fast medium,Bowler
Sunrisers Hyderabad Squad,Akash Singh,Akash Maharaj Singh,Right hand Bat,Left arm Medium fast,Bowler
Sunrisers Hyderabad Squad,Pat Cummins,Patrick James Cummins,Right hand Bat,Right arm Fast,Bowler
Sunrisers Hyderabad Squad,Wanindu Hasaranga,Pinnaduwage Wanindu Hasaranga de Silva,Right hand Bat,Legbreak,Allrounder
Sunrisers Hyderabad Squad,Washington Sundar,Washington Sundar,Left hand Bat,Right arm Offbreak,Bowling Allrounder
Sunrisers Hyderabad Squad,Shahbaz Ahmed,Shahbaz Ahmed,Left hand Bat,Slow Left arm Orthodox,Allrounder
Sunrisers Hyderabad Squad,Sanvir Singh,Sanvir Singh,Right hand Bat,Right arm Medium,Allrounder
Sunrisers Hyderabad Squad,Glenn Phillips,Glenn Dominic Phillips,Right hand Bat,Right arm Offbreak,Wicketkeeper
Sunrisers Hyderabad Squad,Nitish Kumar Reddy,Kaki Nitish Kumar Reddy,Right hand Bat,Right arm Medium fast,Batting Allrounder
Sunrisers Hyderabad Squad,Aiden Markram,Aiden Kyle Markram,Right hand Bat,Right arm Offbreak,Allrounder
Sunrisers Hyderabad Squad,Marco Jansen,Marco Jansen,Right hand Bat,Left arm Fast,Bowling Allrounder
Sunrisers Hyderabad Squad,Abhishek Sharma,Abhishek Sharma,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
Sunrisers Hyderabad Squad,Upendra Yadav,Upendra Diwansingh Yadav,Right hand Bat,Right arm Offbreak,Wicketkeeper
